feature,importance
Booking_Source_OTA,0.3507681016909763
Lead_Time_Days,0.24062866047544487
Payment_Mode_Prepaid,0.16703005398788906
Booking_Source_Web,0.12153408471082645
Booking_Source_Travel Agent,0.05119804482982387
Per_Room_Night_Charges,0.03177979631499511
Booking_Source_Walk - In,0.012074003656465295
checkin_month,0.01045609532902854
n_children,0.0034143384576298527
n_adults,0.0031968614664944594
checkin_quarter,0.0029449981023376794
checkin_dow,0.0021798526693087112
is_repeat_guest,0.0007972822308645235
Pax_3(A) 0(C),0.0004982182222019729
Pax_2(A) 2(C),0.00042097444581607607
checkin_is_weekend,0.00030639753780773723
Room_Type_Maple (Deluxe),0.0002934983614959688
is_hot_room,0.00027620385962267966
Pax_2(A) 0(C),0.00020136439907153658
Pax_2(A) 1(C),1.169251899253536e-06
