variable,VIF
Avg_Price_Per_Room,23.55
N_Adults,9.0
Payment_Mode_Pay at Hotel,4.39
Nights_Booked,3.46
Lead_Time_Days,3.13
Booking_Source_Corporate,2.6
is_weekend,2.49
Booking_Source_Direct / Front Desk,2.43
N_Special_Requests,1.94
is_peak_month,1.79
Previous_Successful_Bookings,1.77
Meal_Plan_No Meal,1.69
Room_Type_Reserved_Mahogany (Premium),1.59
Previous_Cancellations,1.32
N_Children,1.24
Rate_Premium_Pct,1.19
Booking_Source_Travel Agent,1.17
Meal_Plan_Half Board,1.16
Booking_Source_Web,1.13
Meal_Plan_Full Board,1.09
Got_Room_Upgrade,1.08
