Primary_Guest_Name,last_stay,frequency,monetary,avg_nights,n_special_req,cancel_rate,recency_days,R,F,M,RFM_Score,Tier
Guest_000002,2023-04-25,1,3617.76,1.0,0.0,0.0,251,4,1,1,6,New
Guest_000004,2023-04-06,1,2999.01,1.0,0.0,0.0,270,4,1,1,6,New
Guest_000006,2022-08-09,1,6729.48,2.0,5.0,0.0,510,2,1,2,5,Lapsed
Guest_000007,2022-09-17,1,3260.47,1.0,1.0,0.0,471,2,1,1,4,Lapsed
Guest_000042,2022-10-24,1,10290.2,3.0,0.0,0.0,434,2,1,4,7,Lapsed
Guest_000043,2022-09-11,1,11584.14,3.0,2.0,0.0,477,2,1,4,7,Lapsed
Guest_000049,2022-03-20,1,3781.13,1.0,1.0,0.0,652,1,1,1,3,Lapsed
Guest_000050,2023-04-04,1,3849.24,1.0,0.0,0.0,272,3,1,1,5,New
Guest_000053,2023-10-12,1,7716.89,2.0,1.0,0.0,81,5,1,3,9,New
Guest_000058,2023-01-13,1,12005.99,3.0,1.0,0.0,353,3,1,4,8,New
Guest_000060,2022-11-13,1,4530.43,1.0,1.0,0.0,414,3,1,2,6,New
Guest_000064,2022-02-03,1,14184.93,4.0,2.0,0.0,697,1,1,4,6,Lapsed
Guest_000071,2023-07-20,1,6145.91,2.0,0.0,0.0,165,4,1,2,7,New
Guest_000073,2023-03-24,1,3851.19,1.0,0.0,0.0,283,3,1,1,5,New
Guest_000075,2023-06-29,1,19197.49,7.0,0.0,0.0,186,4,1,5,10,New
Guest_000082,2022-12-16,1,4226.64,1.0,1.0,0.0,381,3,1,2,6,New
Guest_000086,2022-10-30,1,11543.15,3.0,1.0,0.0,428,2,1,4,7,Lapsed
Guest_000087,2022-04-24,1,4438.46,1.0,0.0,0.0,617,1,1,2,4,Lapsed
Guest_000097,2022-07-05,1,14794.04,4.0,2.0,0.0,545,2,1,4,7,Lapsed
Guest_000105,2023-12-07,1,9755.38,2.0,1.0,0.0,25,5,1,3,9,New
Guest_000106,2022-03-30,1,10828.51,3.0,1.0,0.0,642,1,1,4,6,Lapsed
Guest_000108,2022-09-11,1,4089.13,1.0,0.0,0.0,477,2,1,2,5,Lapsed
Guest_000111,2023-01-09,1,6967.48,2.0,4.0,0.0,357,3,1,3,7,New
Guest_000126,2022-12-20,2,15836.85,2.0,1.5,0.0,377,3,5,5,13,VIP
Guest_000129,2023-12-16,1,8798.7,2.0,1.0,0.0,16,5,1,3,9,New
Guest_000132,2023-09-16,1,17829.91,4.0,4.0,0.0,107,5,1,5,11,New
Guest_000144,2023-04-28,1,4721.94,1.0,1.0,0.0,248,4,1,2,7,New
Guest_000145,2022-03-12,1,7385.06,2.0,0.0,0.0,660,1,1,3,5,Lapsed
